,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
1120,92023,333.0,2081259.0,7541.0,ificom-2022.xlsx,2022,2511153.0,2218818.0,2063625.0,2063625.0,1908432.0,2218818.0,3.0831706777496826,False,False,
1121,92023,,,,,2023,2488783.5,2511153.0,2212801.0,2218818.0,1908432.0,2511153.0,,False,True,
1122,92023,,,,,2024,2585921.0,2488783.5,2281796.625,2353800.75,1908432.0,2511153.0,,False,True,
1123,92023,,,,,2025,2657912.25,2585921.0,2342621.5,2488783.5,1908432.0,2585921.0,,False,True,
1124,92023,,,,,2026,2671350.25,2657912.25,2395169.9583333335,2499968.25,1908432.0,2657912.25,,False,True,
1605,92023,,,,,2027,2671350.25,2671350.25,2434624.285714286,2511153.0,1908432.0,2671350.25,,False,True,
1125,92024,59.0,2274025.0,9329.0,ificom-2021.xlsx,2021,550411.0,,,,,,3.071920120530268,False,False,
1126,92024,62.0,2176911.0,9074.0,ificom-2022.xlsx,2022,562588.0,550411.0,550411.0,550411.0,550411.0,550411.0,3.071920120530268,False,False,
1127,92024,,,,,2023,660500.3125,562588.0,556499.5,556499.5,550411.0,562588.0,,False,True,
1128,92024,,,,,2024,704694.0,660500.3125,591166.4375,562588.0,550411.0,660500.3125,,False,True,
1129,92024,,,,,2025,729440.1875,704694.0,619548.328125,611544.15625,550411.0,704694.0,,False,True,
1130,92024,,,,,2026,755293.25,729440.1875,641526.7,660500.3125,550411.0,729440.1875,,False,True,
1606,92024,,,,,2027,778057.875,755293.25,660487.7916666666,682597.15625,550411.0,755293.25,,False,True,
1131,92025,192.0,2046990.9999999998,7268.0,ificom-2020.xlsx,2020,1395456.0,,,,,,3.7133534005204845,False,False,
1132,92025,229.0,2045460.0,7322.0,ificom-2021.xlsx,2021,1676738.0,1395456.0,1395456.0,1395456.0,1395456.0,1395456.0,3.7133534005204845,False,False,
1133,92025,242.0,2126991.0,8046.0,ificom-2022.xlsx,2022,1947132.0,1676738.0,1536097.0,1536097.0,1395456.0,1676738.0,3.7133534005204845,False,False,
