,Region,Department,Commune_Code_INSEE,City,latitude,longitude
294,NOUVELLE-AQUITAINE,GIRONDE,33281,MERIGNAC,44.8322953289,-0.681733084891
295,NOUVELLE-AQUITAINE,GIRONDE,33281,MERIGNAC,44.8322953289,-0.681733084891
296,NOUVELLE-AQUITAINE,GIRONDE,33281,MERIGNAC,44.8322953289,-0.681733084891
297,,,33281,,,
298,,,33281,,,
299,,,33281,,,
300,,,33281,,,
1486,,,33281,,,
301,NOUVELLE-AQUITAINE,GIRONDE,33318,PESSAC,44.7915990521,-0.676303166277
302,NOUVELLE-AQUITAINE,GIRONDE,33318,PESSAC,44.7915990521,-0.676303166277
303,NOUVELLE-AQUITAINE,GIRONDE,33318,PESSAC,44.7915990521,-0.676303166277
304,,,33318,,,
305,,,33318,,,
306,,,33318,,,
307,,,33318,,,
1487,,,33318,,,
308,NOUVELLE-AQUITAINE,GIRONDE,33449,SAINT-MEDARD-EN-JALLES,44.8832620816,-0.784239883546
309,NOUVELLE-AQUITAINE,GIRONDE,33449,SAINT-MEDARD-EN-JALLES,44.8832620816,-0.784239883546
310,NOUVELLE-AQUITAINE,GIRONDE,33449,SAINT-MEDARD-EN-JALLES,44.8832620816,-0.784239883546
311,,,33449,,,
312,,,33449,,,
313,,,33449,,,
314,,,33449,,,
1488,,,33449,,,
315,NOUVELLE-AQUITAINE,GIRONDE,33522,TALENCE,44.8060817507,-0.591124592873
316,NOUVELLE-AQUITAINE,GIRONDE,33522,TALENCE,44.8060817507,-0.591124592873
317,NOUVELLE-AQUITAINE,GIRONDE,33522,TALENCE,44.8060817507,-0.591124592873
318,,,33522,,,
319,,,33522,,,
320,,,33522,,,
321,,,33522,,,
1489,,,33522,,,
322,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,44.5561823053,-1.17530826791
323,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,44.5561823053,-1.17530826791
324,NOUVELLE-AQUITAINE,GIRONDE,33529,LA TESTE DE BUCH,44.5561823053,-1.17530826791
325,,,33529,,,
326,,,33529,,,
327,,,33529,,,
328,,,33529,,,
1490,,,33529,,,
329,OCCITANIE,HERAULT,34003,AGDE,43.309129116,3.48447903133
330,OCCITANIE,HERAULT,34003,AGDE,43.309129116,3.48447903133
331,OCCITANIE,HERAULT,34003,AGDE,43.309129116,3.48447903133
332,,,34003,,,
333,,,34003,,,
334,,,34003,,,
335,,,34003,,,
1491,,,34003,,,
336,OCCITANIE,HERAULT,34032,BEZIERS,43.3475883319,3.23076754164
337,OCCITANIE,HERAULT,34032,BEZIERS,43.3475883319,3.23076754164
338,OCCITANIE,HERAULT,34032,BEZIERS,43.3475883319,3.23076754164
339,,,34032,,,
340,,,34032,,,
341,,,34032,,,
342,,,34032,,,
1492,,,34032,,,
343,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,43.6380218809,3.91265416028
344,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,43.6380218809,3.91265416028
345,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,43.6380218809,3.91265416028
346,,,34057,,,
347,,,34057,,,
348,,,34057,,,
349,,,34057,,,
1493,,,34057,,,
350,OCCITANIE,HERAULT,34172,MONTPELLIER,43.6134409138,3.86851657896
351,OCCITANIE,HERAULT,34172,MONTPELLIER,43.6134409138,3.86851657896
352,OCCITANIE,HERAULT,34172,MONTPELLIER,43.6134409138,3.86851657896
353,,,34172,,,
354,,,34172,,,
355,,,34172,,,
356,,,34172,,,
1494,,,34172,,,
357,OCCITANIE,HERAULT,34301,SETE,43.3917705831,3.64705148296
358,OCCITANIE,HERAULT,34301,SETE,43.3917705831,3.64705148296
359,OCCITANIE,HERAULT,34301,SETE,43.3917705831,3.64705148296
360,,,34301,,,
361,,,34301,,,
362,,,34301,,,
363,,,34301,,,
1495,,,34301,,,
364,BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,48.1119791219,-1.68186449144
365,BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,48.1119791219,-1.68186449144
366,BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,48.1119791219,-1.68186449144
367,,,35238,,,
368,,,35238,,,
369,,,35238,,,
370,,,35238,,,
1496,,,35238,,,
371,BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,48.6400443482,-1.98060627256
372,BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,48.6400443482,-1.98060627256
373,BRETAGNE,ILLE-ET-VILAINE,35288,SAINT MALO,48.6400443482,-1.98060627256
374,,,35288,,,
375,,,35288,,,
376,,,35288,,,
377,,,35288,,,
1497,,,35288,,,
378,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37261,TOURS,47.3986382281,0.696526376417
379,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37261,TOURS,47.3986382281,0.696526376417
380,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37261,TOURS,47.3986382281,0.696526376417
381,,,37261,,,
382,,,37261,,,
383,,,37261,,,
384,,,37261,,,
1498,,,37261,,,
385,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,45.1821215167,5.72133051752
386,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,45.1821215167,5.72133051752
387,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE,45.1821215167,5.72133051752
388,,,38185,,,
