Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
NOUVELLE-AQUITAINE,VIENNE,,POITIERS,94.0,1969541.0,7114.0,ificom-2019.xls,2019.0,,,668716.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,SURESNES,246.0,2030228.0,7091.0,ificom-2019.xls,2019.0,,,1744386.0
BOURGOGNE-FRANCHE-COMTE,DOUBS,,BESANCON,97.0,1970040.0,7082.0,ificom-2019.xls,2019.0,,,686954.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,CLAMART,251.0,2007314.0,7012.0,ificom-2019.xls,2019.0,,,1760012.0
AUVERGNE-RHONE-ALPES,SAVOIE,,AIX LES BAINS,68.0,1937107.0,7006.0,ificom-2019.xls,2019.0,,,476408.0
ILE-DE-FRANCE,VAL-DE-MARNE,,SUCY EN BRIE,60.0,1954347.0,6987.0,ificom-2019.xls,2019.0,,,419220.0
GRAND-EST,MOSELLE,,THIONVILLE,63.0,1935286.0,6985.0,ificom-2019.xls,2019.0,,,440055.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,ANTONY,241.0,1960008.0,6960.0,ificom-2019.xls,2019.0,,,1677360.0
ILE-DE-FRANCE,SEINE-SAINT-DENIS,,MONTREUIL SOUS BOIS,87.0,2009584.0,6921.0,ificom-2019.xls,2019.0,,,602127.0
OCCITANIE,TARN-ET-GARONNE,,MONTAUBAN,70.0,1940250.0,6901.0,ificom-2019.xls,2019.0,,,483070.0
PAYS DE LA LOIRE,MAINE-ET-LOIRE,,ANGERS,160.0,1926256.0,6715.0,ificom-2019.xls,2019.0,,,1074400.0
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,,CLERMONT-FERRAND,107.0,1936636.0,6514.0,ificom-2019.xls,2019.0,,,696998.0
OCCITANIE,TARN,,ALBI,65.0,1906581.0,6477.0,ificom-2019.xls,2019.0,,,421005.0
NOUVELLE-AQUITAINE,GIRONDE,,PESSAC,109.0,1935728.0,6363.0,ificom-2019.xls,2019.0,,,693567.0
ILE-DE-FRANCE,YVELINES,,LE CHESNAY-ROCQUENCOURT,271.0,1957630.0,6340.0,ificom-2019.xls,2019.0,,,1718140.0
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,,PAU,100.0,1868959.0,6301.0,ificom-2019.xls,2019.0,,,630100.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,BOIS-COLOMBES,123.0,1929661.0,6296.0,ificom-2019.xls,2019.0,,,774408.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,,ARLES,68.0,1869322.0,6264.0,ificom-2019.xls,2019.0,,,425952.0
ILE-DE-FRANCE,VAL-DE-MARNE,,CACHAN,51.0,1901747.0,6220.0,ificom-2019.xls,2019.0,,,317220.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,CHAVILLE,108.0,1859030.0,6170.0,ificom-2019.xls,2019.0,,,666360.0
AUVERGNE-RHONE-ALPES,LOIRE,,SAINT ETIENNE,83.0,1895126.0,6012.0,ificom-2019.xls,2019.0,,,498996.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06083,MENTON,90.0,1832887.0,5801.0,ificom-2019.xls,2019.0,43.7908233727,7.49365612374,522090.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,,ORVAULT,51.0,1880747.0,5680.0,ificom-2019.xls,2019.0,,,289680.0
